,company_name,manager_name,female,manager_edu_num,experience_days,aum_manager,num_fund_manager_curr,num_fund_manager_hist,company_name_short,company_rank_aum,aum_non_mmf,aum,num_funds,num_managers,avg_aum_manager,avg_num_manager,company_duration,weighted_average_benchmark_rate,weighted_average_excess_return,weighted_average_fee_total,male_score,female_score,photo_urls,earliest,latest,experience_before
16,万家基金管理有限公司,王霄音,1,2,1424,488530173.17,2,2,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,8.527580618286132,-36.17382590094357,3.6116958748612875,47.648,49.523,https://human.amac.org.cn/gs/photo/144283796518614428379651860.jpg,2015-12-06,2015-12-06,0
17,万家基金管理有限公司,石东,0,1,512,9081651318.2301,5,5,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,8.7611500393562,-2.424950039356201,2.3,78.127,79.667,https://human.amac.org.cn/gs/photo/2307101636555881.jpg,2023-07-12,2023-07-12,0
18,万家基金管理有限公司,章恒,0,1,1692,1657152527.66,4,10,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.509310496906583,-1.4486543257019913,2.5272543544688753,41.245,49.297,https://human.amac.org.cn/gs/photo/149870212907314987021290730.jpg,2007-08-15,2020-05-14,4656
19,万家基金管理有限公司,耿嘉洲,0,1,1692,6668492689.4101,5,5,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.635792944116481,18.56611214151556,3.863856330983819,77.774,76.635,https://human.amac.org.cn/gs/photo/157573009856715757300985670.jpg,2012-08-14,2020-05-14,2830
20,万家基金管理有限公司,苏谋东,0,1,2296,5314923045.8201,8,42,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.079261262299182,-4.127074818358464,2.5467310934789325,70.492,70.505,https://human.amac.org.cn/gs/photo/14309831638904547.jpg,2014-01-06,2014-01-06,0
21,万家基金管理有限公司,莫海波,0,1,2527,10958295369.52,6,14,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.105909390386078,23.921256711874314,3.8723644843570177,63.578,62.433,https://human.amac.org.cn/gs/photo/14309833257197634.jpg,2015-04-14,2015-04-14,0
22,万家基金管理有限公司,董一平,1,1,1225,159639343.3,4,7,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,7.816661876263158,-4.5103791334627426,2.8745959997119637,61.794,65.131,https://human.amac.org.cn/gs/photo/148075619377214807561937720.jpg,2016-12-12,2020-04-15,1220
23,万家基金管理有限公司,谷丹青,1,1,1498,9197757619.1701,3,10,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.907462706750577,-7.6577497577047255,2.151828080334879,65.317,65.309,https://human.amac.org.cn/gs/photo/147978087941214797808794120.jpg,2016-11-28,2016-11-28,0
24,万家基金管理有限公司,郅元,0,1,2352,313523329747.98,6,8,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,1.7727650295320385,0.0036281626794085224,0.4865294844597115,52.03,58.87,https://human.amac.org.cn/gs/photo/152388943469415238894346940.jpg,2013-10-25,2018-07-25,1734
25,万家基金管理有限公司,陈佳昀,0,1,2330,11780618090.87,5,19,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.730470209213538,-6.8188944785838315,2.0910961856720656,77.585,81.231,https://human.amac.org.cn/gs/photo/149386592907714938659290770.jpg,2017-04-25,2017-06-05,41
26,万家基金管理有限公司,陈奕雯,1,1,901,19770407143.78,9,16,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,8.599831134786367,-5.429916382650107,2.057607790704112,59.001,60.091,https://human.amac.org.cn/gs/photo/14309833545858205.jpg,2015-04-20,2019-02-21,1403
27,万家基金管理有限公司,高源,1,1,2110,943776494.87,6,14,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,8.570728377815344,-10.541759820399031,3.7057622952949485,56.684,59.098,https://human.amac.org.cn/gs/photo/143348915609314334891560930.jpg,2010-01-04,2017-08-10,2775
28,万家基金管理有限公司,黄倩倩,1,1,894,16395063218.09,1,10,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,1.9140146179199218,-0.19951461791992187,0.32,76.743,79.8,https://human.amac.org.cn/gs/photo/2205241533361662.jpg,2015-01-09,2022-02-18,2597
29,万家基金管理有限公司,黄兴亮,0,2,327,11812978943.29,7,11,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.895541613093457,-15.795141947877555,3.7838840093612607,78.598,80.111,https://human.amac.org.cn/gs/photo/143098351280311319.jpg,2008-08-14,2019-03-04,3854
30,万家基金管理有限公司,黄海,0,1,1560,8318594017.6801,3,4,万家基金,25,172043527391.73,483323874068.52,160,42,11507711287.346,3.8095,8166,9.682814237855139,-7.902955613620102,3.9603889082599997,60.095,62.439,https://human.amac.org.cn/gs/photo/14309833259437639.jpg,2015-04-20,2019-12-27,1712
