,manager_name,company_name,male_score,female_score,photo_urls
211,刘珈吟,嘉实基金管理有限公司,58.372,54.49,https://human.amac.org.cn/gs/photo/144963509683914496350968390.jpg
212,贺雨轩,天弘基金管理有限公司,65.516,68.149,https://human.amac.org.cn/gs/photo/148228180509714822818050970.jpg
213,吕瑞君,博时基金管理有限公司,64.395,66.898,https://human.amac.org.cn/gs/photo/2204201701305422.jpg
214,林赟聪,红土创新基金管理有限公司,81.466,81.655,https://human.amac.org.cn/gs/photo/2311071252045547.jpg
215,王毅文,华商基金管理有限公司,70.167,67.902,https://human.amac.org.cn/gs/photo/14309834046149172.jpg
216,柳黎,鹏华基金管理有限公司,76.802,82.87,https://human.amac.org.cn/gs/photo/150755991386115075599138610.jpg
217,段鹏,长盛基金管理有限公司,68.586,70.064,https://human.amac.org.cn/gs/photo/143098357295112520.jpg
218,李劭钊,工银瑞信基金管理有限公司,57.277,63.511,https://human.amac.org.cn/gs/photo/143761490836314376149083630.jpg
219,高志刚,中银基金管理有限公司,87.564,90.147,https://human.amac.org.cn/gs/photo/156317831670015631783167000.jpg
220,俞诚,申万菱信基金管理有限公司,55.954,57.164,https://human.amac.org.cn/gs/photo/144461684129014446168412900.jpg
221,许一,华富基金管理有限公司,59.372,63.657,https://human.amac.org.cn/gs/photo/147014856754114701485675410.JPG
222,谢治宇,兴证全球基金管理有限公司,58.453,58.13,https://human.amac.org.cn/gs/photo/14309833762948631.jpg
223,王乐乐,富国基金管理有限公司,66.012,69.008,https://human.amac.org.cn/gs/photo/143453422266714345342226670.jpg
224,万志文,博时基金管理有限公司,50.83,46.697,https://human.amac.org.cn/gs/photo/143824870596014382487059600.jpg
225,韩正宇,国联基金管理有限公司,84.369,83.228,https://human.amac.org.cn/gs/photo/2011062113061520.jpg
226,董霖哲,中欧基金管理有限公司,82.655,84.062,https://human.amac.org.cn/gs/photo/151245775472815124577547280.jpg
227,吴晖,长信基金管理有限责任公司,62.64,63.498,https://human.amac.org.cn/gs/photo/149941650134514994165013450.jpg
228,何秀红,工银瑞信基金管理有限公司,63.377,64.29,https://human.amac.org.cn/gs/photo/143098351085411275.jpg
229,刘晟,中庚基金管理有限公司,78.984,79.819,https://human.amac.org.cn/gs/photo/2404292203168579.jpg
230,范国华,银华基金管理股份有限公司,68.819,71.62,https://human.amac.org.cn/gs/photo/143813877648714381387764870.jpg
231,蒋华安,工银瑞信基金管理有限公司,59.675,68.978,https://human.amac.org.cn/gs/photo/148911026289914891102628990.jpg
232,柳预才,汇安基金管理有限责任公司,65.113,68.646,https://human.amac.org.cn/gs/photo/143098370539415405.jpg
233,经惠云,泰康基金管理有限公司,72.876,77.003,https://human.amac.org.cn/gs/photo/2211111250456292.jpg
234,钱伟华,富国基金管理有限公司,74.721,71.811,https://human.amac.org.cn/gs/photo/145198070834214519807083420.jpg
235,张姝丽,工银瑞信基金管理有限公司,61.889,64.231,https://human.amac.org.cn/gs/photo/152411808435015241180843500.jpg
236,潘飞,诺安基金管理有限公司,69.223,72.579,https://human.amac.org.cn/gs/photo/146306423670814630642367080.jpg
237,王先伟,创金合信基金管理有限公司,63.819,65.846,https://human.amac.org.cn/gs/photo/152885999247215288599924720.jpg
238,刘明轩,工银瑞信基金管理有限公司,80.163,83.099,https://human.amac.org.cn/gs/photo/2210310902260001.jpg
239,曹名长,中欧基金管理有限公司,51.834,54.75,https://human.amac.org.cn/gs/photo/144592230186814459223018680.jpg
240,劳杰男,汇添富基金管理股份有限公司,71.537,72.822,https://human.amac.org.cn/gs/photo/143453587533614345358753360.JPG
241,唐钰蔚,光大保德信基金管理有限公司,75.567,78.346,https://human.amac.org.cn/gs/photo/146898346063114689834606310.jpg
